source_id,target_id
10011,12048
10011,1961
12048,18636
12196,20979
12196,341
12218,20982
12218,20983
1272,1273
1272,33027
1273,1274
1274,140
1276,1277
1276,2439
1277,20966
1278,1279
1278,20966
1278,2440
1279,1280
1279,20966
1280,1281
1280,33029
1281,1282
1281,1392
1281,283
1281,31140
1281,33029
1282,1283
1282,33029
1283,1284
1284,1285
1285,1286
1286,20967
1392,21532
1392,2455
1392,31140
1392,33029
140,142
140,20966
140,2439
140,82
142,2439
152,20967
15271,20615
15271,20616
15319,15497
15319,18597
15322,18599
15322,1939
15325,15326
15325,1940
15326,15327
15327,15328
15328,1959
15329,15330
15329,1959
15330,18636
15333,2099
15333,4726
15349,18602
15349,1940
15355,18606
15355,18614
15358,18608
15358,20024
15379,18610
15379,18611
15497,31790
15497,416
16402,18602
16402,18603
18597,1938
18598,18599
18598,1938
18600,18601
18600,1939
18601,1940
18603,18604
18604,18605
18605,30607
18606,30607
18607,1943
18607,1944
18608,1946
18609,18610
18609,1946
18611,18612
18612,18613
18613,1947
18614,1943
1892,1935
1892,30520
1895,1932
1895,1934
1900,1927
1900,1929
1902,1925
1902,1927
1908,1919
1908,1921
1917,1918
1917,31790
1918,1919
1921,30519
1923,1924
1923,30519
1924,1925
1929,1930
1930,1931
1931,1932
1934,1935
1944,20024
1961,4726
20431,2099
20610,20611
20610,31294
20611,20612
20612,20613
20613,20614
20614,20615
20616,20617
20617,20618
20618,20619
20619,20622
20622,20623
20623,20624
20624,20625
20625,20626
20626,20627
20627,21030
20627,277
20628,20630
20628,277
20628,30550
20630,20631
20631,20632
20632,20633
20633,20634
20634,20635
20635,21422
20636,20638
20636,279
20638,32722
20639,20640
20639,32722
20640,20641
20641,20642
20641,20732
20642,20643
20642,20732
20643,20645
20643,21532
20645,20646
20646,31140
20697,20698
20697,24568
20698,20699
20699,20700
20700,20701
20701,20702
20702,20703
20703,20704
20704,20705
20704,20932
20704,599
20705,20706
20706,20707
20707,20708
20708,20709
20709,20710
20710,20711
20711,20712
20712,20713
20713,20714
20714,20715
20715,20717
20716,20717
20716,20718
20718,20719
20719,20720
20720,20721
20721,20722
20722,21208
20723,20724
20723,21208
20724,20725
20725,20957
20725,297
20726,20727
20726,20957
20726,20958
20726,297
20727,20728
20727,20958
20728,20729
20729,20802
20729,20804
20731,20732
20731,21248
20768,20770
20768,305
20768,32523
20770,20771
20771,20772
20772,20773
20773,20774
20774,20775
20775,20776
20776,20777
20777,20778
20778,20779
20779,20781
20781,20782
20782,20843
20784,20785
20784,20786
20785,319
20786,20787
20787,20788
20788,320
20789,20790
20789,321
20790,20799
20791,20792
20791,320
20792,20793
20793,20794
20794,20795
20795,20796
20796,20797
20797,321
20799,20800
20800,20801
20800,20873
20800,20874
20801,20802
20801,20875
20802,20804
20802,20876
20802,21456
20804,20876
20804,21456
20804,30820
20843,319
20859,20860
20859,599
20860,20861
20861,20862
20862,20863
20863,20864
20864,20865
20865,20866
20866,20867
20867,20868
20868,20869
20869,600
20870,20871
20870,600
20871,20872
20872,20873
20873,20874
20874,20875
20875,20876
20875,21456
20876,21456
20876,30820
20931,20932
20931,611
20932,20933
20932,611
20933,20934
20934,20935
20935,20936
20936,20937
20937,20938
20938,20939
20939,20940
20940,20941
20941,20942
20942,20943
20943,20944
20944,20946
20946,20947
20947,20948
20948,20949
20949,20950
20950,20951
20951,20952
20952,20954
20954,20955
20955,20957
20955,297
20957,297
20965,33027
20965,82
20966,2439
20966,343
20979,20981
20981,20982
20983,20984
20984,650
20986,20988
20986,25779
20988,20989
20989,20991
20991,31540
20991,353
20993,20994
20993,342
20994,20995
20995,20996
20996,20998
20998,20999
20999,21001
21001,21002
21002,343
21005,21006
21005,343
21006,21008
21008,30290
21009,21010
21009,30290
21010,30791
21014,21016
21014,30791
21016,21017
21017,21018
21018,21019
21019,21021
21021,21022
21022,30291
21025,30291
21025,344
21026,21027
21026,344
21027,21028
21028,30550
21030,21032
21030,277
21030,30550
21032,21033
21033,21035
21035,21037
21037,21038
21038,345
21040,21041
21040,345
21041,21042
21042,21481
21044,21481
21248,22129
21248,2452
21248,279
21422,21423
21423,21424
21424,279
21456,30820
21457,22127
21457,30820
21531,2440
21531,2457
21532,2453
217,2464
217,61
22127,672
22128,22129
22128,672
23992,31347
23992,481
24038,31347
24038,31540
2446,2447
2446,416
2447,2448
2448,2449
2449,2450
2450,2451
2451,2452
2452,2453
2452,279
2455,2456
2455,283
2456,2457
24568,305
24568,32523
2457,2458
2458,428
2459,353
2459,428
2460,2461
2460,353
2461,2462
2462,797
2463,60
2463,838
2464,838
25779,650
283,31140
283,33029
305,32523
305,32523
31140,33029
31540,353
31790,416
33027,82
342,353
342,481
353,481
60,797
