stop_id,stop_name,stop_lat,stop_lon
10011,Magnolia Av,39.919517,-75.287045
12048,Woodlawn-Providence,39.921643,-75.288705
12196,Richmond St & Allegheny Av,39.983053,-75.101437
12218,Richmond St & Somerset St,39.978159,-75.110697
1272,Logan,40.030618,-75.14658
1273,Wyoming,40.02456,-75.147904
1274,Hunting Park,40.016933,-75.149577
1276,Susquehanna-Dauphin,39.987031,-75.156109
1277,Cecil B. Moore,39.978672,-75.157925
1278,Fairmount,39.967039,-75.160461
1279,Broad-Spring Garden,39.962392,-75.161471
1280,Race-Vine,39.95703,-75.162601
1281,15th St/City Hall,39.952473,-75.164129
1282,Walnut-Locust,39.948734,-75.164462
1283,Lombard-South,39.944077,-75.165471
1284,Ellsworth-Federal,39.936182,-75.167177
1285,Tasker-Morris,39.929813,-75.16857
1286,Snyder,39.92438,-75.169758
1392,15th St/City Hall,39.952573,-75.165286
140,Erie,40.009234,-75.15125
142,Broad-Allegheny,40.001589,-75.152922
152,NRG Station,39.905433,-75.17391
15271,Lansdowne Av & 60th St,39.975851,-75.240378
15319,Fairfield Av,39.960882,-75.263743
15322,Congress Av,39.953092,-75.279101
15325,Garrettford,39.944052,-75.295958
15326,Drexel Manor,39.942205,-75.296611
15327,Marshall Rd,39.940135,-75.296544
15328,Creek Rd,39.9351,-75.295278
15329,Penn St,39.928938,-75.292008
15330,Springfield-Madison,39.927288,-75.292684
15333,Andrews Av,39.911613,-75.281997
15349,Huey Av,39.947597,-75.29764
15355,Saxer Av,39.928772,-75.333645
15358,Pine Ridge,39.915024,-75.370004
15379,Monroe St,39.917726,-75.387518
15497,69th St Transit Center,39.96217,-75.259677
16402,Aronimink,39.949319,-75.306304
18597,Walnut St,39.958851,-75.2667
18598,Hilltop Rd,39.955896,-75.273131
18599,Beverly Blvd,39.955095,-75.274822
18600,Drexel Park,39.949915,-75.286772
18601,Irvington Rd,39.948864,-75.288982
18602,School Ln,39.948751,-75.299799
18603,Anderson Av,39.94796,-75.312825
18604,Drexelbrook,39.94724,-75.316144
18605,Drexeline,39.944666,-75.321757
18606,Brookside-Springfield,39.933963,-75.32986
18607,Thomson Av,39.921159,-75.345542
18608,Beatty Rd,39.916249,-75.376967
18609,Manchester Av,39.917055,-75.382738
18610,Edgmont St,39.917467,-75.385524
18611,Jackson St,39.917985,-75.389348
18612,Olive St,39.9182,-75.390917
18613,Veterans Sq,39.918343,-75.391897
18614,Leamy Av,39.926338,-75.337378
18636,Clifton-Aldan,39.925723,-75.290161
1892,Bridgeport,40.104946,-75.348094
1895,Gulph Mills,40.070847,-75.342278
1900,Stadium,40.032699,-75.340729
1902,Roberts Rd,40.021401,-75.330234
1908,Beechwood-Brookline,39.986548,-75.291448
1917,Parkview,39.969026,-75.27478
1918,Township Line Rd,39.974818,-75.281536
1919,Penfield,39.980997,-75.283933
1921,Wynnewood Rd,39.9934,-75.298182
1923,Ardmore Av,39.999936,-75.309419
1924,Haverford South,40.00983,-75.315099
1925,Bryn Mawr South,40.018084,-75.323383
1927,Garrett Hill,40.027974,-75.336361
1929,Villanova South,40.034085,-75.344025
1930,Radnor South,40.042052,-75.353558
1931,County Line,40.050063,-75.347341
1932,Matsonford,40.058206,-75.339408
1934,Hughes Park,40.081535,-75.349079
1935,DeKalb St,40.098736,-75.352018
1938,Avon Rd,39.957649,-75.269301
1939,Lansdowne Av,39.951694,-75.282422
1940,Drexel Hill Junction,39.947092,-75.292764
1943,Woodland Av,39.924707,-75.339812
1944,Springfield Mall,39.918278,-75.348885
1946,Providence Rd/Media,39.916786,-75.380567
1947,Orange St/Media,39.918629,-75.393939
1959,Baltimore Av,39.931233,-75.292912
1961,North St,39.917498,-75.28555
20024,Paper Mill Rd,39.915428,-75.358036
20431,Chester Pike/Sharon Hill,39.906673,-75.278314
20610,Malvern Av & 63rd St,39.983697,-75.247009
20611,63rd St & Lebanon Av,39.980912,-75.246661
20612,63rd St & Jefferson St,39.97835,-75.246184
20613,Lansdowne Av & 63rd - FS,39.975332,-75.244986
20614,Lansdowne Av & 62nd St,39.975499,-75.243651
20615,Lansdowne Av & 61st St,39.975693,-75.241879
20616,Lansdowne Av & 59th St,39.976054,-75.238653
20617,Lansdowne Av & 58th St,39.976248,-75.236904
20618,Lansdowne Av & 57th St,39.976406,-75.235403
20619,Lansdowne Av & 56th St,39.976591,-75.233761
20622,Lansdowne Av & 55th St,39.976811,-75.231858
20623,Lansdowne Av & 54th St,39.977013,-75.229908
20624,Lansdowne Av & Lancaster Av,39.977295,-75.227451
20625,Lancaster Av & Bible Way,39.976855,-75.226176
20626,Lancaster Av & 50th St,39.975207,-75.22259
20627,Lancaster Av & Thompson St,39.973748,-75.219747
20628,Lancaster Av & 47th St,39.971555,-75.216115
20630,Lancaster Av & 45th St,39.969667,-75.212991
20631,Lancaster Av & 44th St,39.968772,-75.211541
20632,Lancaster Av & 43th St,39.967725,-75.209878
20633,Lancaster Av & 42nd St,39.966391,-75.207662
20634,Lancaster Av & 41st St,39.965093,-75.205564
20635,Lancaster Av & 40th St,39.963151,-75.20244
20636,Lancaster Av & Spring Garden St,39.962004,-75.200353
20638,Lancaster Av & 38th St,39.960267,-75.197016
20639,Lancaster Av & 36th St,39.958565,-75.193786
20640,36th St & Market St,39.956281,-75.194218
20641,36th St Portal,39.955335,-75.194162
20642,33rd St,39.954782,-75.189523
20643,Drexel Station at 30th St,39.954815,-75.1835
20645,22nd St,39.953962,-75.176736
20646,19th St,39.953327,-75.171637
20697,Main St & Summit St,39.918088,-75.257315
20698,Main St & 6th St,39.917791,-75.255852
20699,Main St & 5th St,39.917504,-75.254613
20700,Main St & 4th St,39.917144,-75.253044
20701,Main St & 3rd St,39.916866,-75.251841
20702,Main St & 2nd St,39.916579,-75.250567
20703,Main St & Front St,39.916363,-75.24921
20704,Woodland Av & Island Av,39.917099,-75.246376
20705,Woodland Av & 72nd St,39.918432,-75.244412
20706,Woodland Av & 71st St,39.919361,-75.243077
20707,Woodland Av & 70th St,39.920483,-75.24148
20708,Woodland Av & 69th St,39.921463,-75.240097
20709,Woodland Av & 68th St,39.922621,-75.238441
20710,Woodland Av & 67th St,39.923689,-75.236927
20711,Woodland Av & 66th St,39.924615,-75.235614
20712,Woodland Av & 65th St,39.925479,-75.234396
20713,Woodland Av & 64th St,39.926352,-75.233142
20714,Woodland Av & 63rd St,39.927314,-75.231782
